map,record,member,date
CTF-BT(ds)RRF,37.281,Nightwolf`,2017-06-28
CTF-BT+(alc)DeepSpace_v2,02:56.854,~DarK~JoJo~,2026-03-03
CTF-BT+(alc)Genetics-v1,04:12.607,Nightwolf`,2012-07-31
CTF-BT+(alc)TheEvulYard,04:01.939,OwYeaW,2016-11-20
CTF-BT+(alc-NB)UnlimitedWorlds_i4g,05:58.057,OwYeaW,2016-04-27
CTF-BT+(bar)code-fix,03:03.997,Dylanbro,2022-01-27
CTF-BT+(bar)WoW-dbl,02:53.336,~DarK~JoJo~,2025-06-04
CTF-BT+(BI)Construct-v3,01:56.657,}ElitE{Mike`,2013-04-24
CTF-BT+(BI)FireChamber-v2,02:00.731,}ElitE{HellFire`,2017-06-25
CTF-BT+(BI)Freaky-v3,02:26.224,~DarK~JoJo~,2026-03-23
CTF-BT+(BI)WoRmy-v2,07:32.031,Franky`,2016-12-08
CTF-BT+(BI)ZiFiF,05:53.067,Franky`,2014-02-14
CTF-BT+(CN)BeamMeUpScotty-v3,02:51.038,}ElitE{Bon,2009-04-24
CTF-BT+(CN)BouletLand-v2,01:38.549,BlueBalls,2021-12-31
CTF-BT+(CN)Bunnycula-SE,04:31.245,}ElitE{Bon,2010-05-04
CTF-BT+(CN)CouilleCastle-EZ,03:58.735,}ElitE{Bon,2008-09-28
CTF-BT+(CN)CouilleCastle-SE,05:05.944,}ElitE{Bon,2009-01-10
CTF-BT+(CN)DarkTower-v2,03:26.657,}ElitE{Mike`,2012-03-01
CTF-BT+(CN)Doom,05:36.717,}ElitE{Bon,2017-12-25
CTF-BT+(CN)EasterFantasy-v2,01:47.202,~DarK~JoJo~,2025-04-10
CTF-BT+(CN)Emma,01:56.261,p-a-w-e-l,2021-09-28
CTF-BT+(CN)EnemyMine-v2,01:47.673,}ElitE{Bon,2017-12-26
CTF-BT+(CN)Fastoche,01:26.879,Nightwolf`,2012-10-12
CTF-BT+(CN)GlupaPichka,01:59.343,p-a-w-e-l,2021-08-25
CTF-BT+(CN)Happy2008,03:22.774,Nightwolf`,2012-10-03
CTF-BT+(CN)IndySara-v2,02:21.472,Nightwolf`,2014-10-03
CTF-BT+(CN)JohnTheFriendlyGhost,01:39.052,Dylanbro,2022-01-14
CTF-BT+(CN)KeyQuest,03:01.695,}ElitE{Bon,2017-06-12
CTF-BT+(CN)LibertyJungle,02:01.612,Nightwolf`,2014-03-08
CTF-BT+(CN)LittleBigAdventure-EZ,02:41.975,fierd_6,2017-08-27
CTF-BT+(CN)LittleBigAdventure-v2,03:26.512,fierd_retired,2012-03-22
CTF-BT+(CN)Locksmith-v2,03:26.349,}ElitE{Bon,2010-10-20
CTF-BT+(CN)Memories-v2,04:11.039,}ElitE{Bon,2013-05-29
CTF-BT+(CN)NewtonChicks-v2,04:00.649,fierd_1,2014-09-21
